week,PfPR,Cases,Severe cases,Pop,agebin
1,0.0,0.0,0.0,14.76666666667,0.25
2,0.0,0.0,0.0,16.96666666667,0.25
3,0.01714285714286,0.0,0.0,17.5,0.25
4,0.1375661375661,2.574955940247,0.0,18.9,0.25
5,0.4876033057851,6.636363327503,1.809917271137,20.16666666667,0.25
6,0.6807866868381,7.178517341614,1.656580924988,22.03333333333,0.25
7,0.5560538116592,1.091180920601,0.5455904603004,22.3,0.25
8,0.3399715504979,2.596017122269,0.0,23.43333333333,0.25
9,0.2857142857143,2.307206094265,0.922882437706,26.36666666667,0.25
10,0.3611793611794,4.035626471043,0.8968058824539,27.13333333333,0.25
11,0.5336597307222,5.361077070236,0.4467564225197,27.23333333333,0.25
12,0.6537396121884,6.066482305527,0.5055401921272,24.06666666667,0.25
1,0.00559064085309,0.1133657768369,0.0,321.9666666667,5.0
2,0.009511863698129,0.0,0.0,318.9,5.0
3,0.1010800041942,1.569151729345,0.0,317.9,5.0
4,0.3208814270724,5.1705140993,0.1149003133178,317.6666666667,5.0
5,0.79205753596,4.146862801164,0.4565353542566,319.8,5.0
6,0.8622854750942,1.566031772643,0.1909794844687,318.5333333333,5.0
7,0.8049190666386,1.150935441256,0.1150935441256,317.1333333333,5.0
8,0.6503802479425,2.927909161896,0.03802479431033,319.9666666667,5.0
9,0.6640990944103,3.761319804937,0.03799312934279,320.2333333333,5.0
10,0.7534148094896,3.936017286032,0.07497175782919,324.5666666667,5.0
11,0.828425878757,3.607233926654,0.2975038290024,327.1666666667,5.0
12,0.859268317538,2.90125335753,0.03719555586576,327.1,5.0
1,0.01256755876799,0.2614442948252,0.0,511.9,15.0
2,0.01921949312659,0.0,0.0,511.6333333333,15.0
3,0.1833690082377,3.077771347016,0.0,513.9,15.0
4,0.4457737825778,5.523507725447,0.0708142016083,515.4333333333,15.0
5,0.8904758813218,3.436019085348,0.02369668334723,513.4333333333,15.0
6,0.9158143194335,1.005114063621,0.0,508.4,15.0
7,0.8208363139754,1.234310939908,0.0,512.5666666667,15.0
8,0.7183614710116,2.221240606159,0.0,509.4,15.0
9,0.7162930527417,4.246127799153,0.04770930111408,510.0333333333,15.0
10,0.8074293228139,4.823471400887,0.04799474030733,507.0,15.0
11,0.8832447332152,3.185994513333,0.0,507.9,15.0
12,0.8895299837925,2.697568964213,0.0,514.1666666667,15.0
1,0.005927939390434,0.126655485481,0.0,1152.733333333,115.0
2,0.0112366041769,0.0,0.0,1153.966666667,115.0
3,0.2257483812897,3.815220370889,0.0,1148.033333333,115.0
4,0.5335255738087,5.783525764942,0.01063148118556,1144.4,115.0
5,0.9185517723881,2.500437204726,0.0,1143.466666667,115.0
6,0.9131306672867,0.6258718753234,0.0,1146.933333333,115.0
7,0.8272035326245,0.8801057720557,0.0,1147.4,115.0
8,0.7296403712297,1.556119554676,0.01058584731072,1149.333333333,115.0
9,0.7086148403746,3.037521273829,0.0,1149.566666667,115.0
10,0.7864599901674,4.475548654795,0.01055553928018,1152.633333333,115.0
11,0.8578170237406,3.497828712687,0.0,1151.333333333,115.0
12,0.8844587913686,2.950910331681,0.04245914146304,1146.2,115.0
